日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2017/5/16,'000915,300信息,1967.7377,1967.7853,1905.2942,1917.1877,1924.0438,43.6939,2.2709,14345760,14658917407
2017/5/15,'000915,300信息,1924.0438,1924.0438,1905.8973,1905.8973,1891.6804,32.3634,1.7108,9360634,11319683629
2017/5/12,'000915,300信息,1891.6804,1899.9467,1880.3601,1891.9961,1894.9421,-3.2617,-0.1721,7579349,10240518360
2017/5/11,'000915,300信息,1894.9421,1909.09,1871.198,1894.9076,1906.508,-11.5659,-0.6067,11167565,12940687027
2017/5/10,'000915,300信息,1906.508,1932.3028,1902.7776,1908.6808,1914.0525,-7.5445,-0.3942,12188776,14774003609
2017/5/9,'000915,300信息,1914.0525,1914.4573,1881.7428,1888.6513,1900.4146,13.6379,0.7176,11315488,12372451205
2017/5/8,'000915,300信息,1900.4146,1946.9803,1899.1008,1939.213,1943.5669,-43.1523,-2.2203,17757595,15271562103
2017/5/5,'000915,300信息,1943.5669,1961.7155,1942.9866,1955.002,1963.1395,-19.5726,-0.997,7800141,10384298868
2017/5/4,'000915,300信息,1963.1395,1975.754,1946.8812,1958.3557,1962.7903,0.3492,0.0178,9050720,10922017188
2017/5/3,'000915,300信息,1962.7903,1965.8511,1951.2298,1956.3317,1959.9457,2.8446,0.1451,11440229,12103826596
2017/5/2,'000915,300信息,1959.9457,1961.2387,1947.5392,1961.2387,1969.6755,-9.7298,-0.494,10332725,11092465144
2017/4/28,'000915,300信息,1969.6755,1969.9282,1959.4698,1965.4559,1968.8667,0.8088,0.0411,9628858,11758242013
2017/4/27,'000915,300信息,1968.8667,1968.8667,1933.9868,1952.7998,1960.5504,8.3163,0.4242,13425637,16725509827
2017/4/26,'000915,300信息,1960.5504,1970.9195,1940.7186,1941.9255,1942.6277,17.9227,0.9226,13858453,16007639103
2017/4/25,'000915,300信息,1942.6277,1951.5706,1930.3896,1932.069,1926.6526,15.9751,0.8292,11356227,14806043725
2017/4/24,'000915,300信息,1926.6526,1946.2913,1897.8021,1946.2913,1946.3987,-19.7461,-1.0145,11267996,12421415065
2017/4/21,'000915,300信息,1946.3987,1956.6336,1941.7632,1946.3754,1945.7463,0.6524,0.0335,12316463,12396217621
2017/4/20,'000915,300信息,1945.7463,1949.0442,1920.5142,1921.5845,1921.65,24.0963,1.2539,10507479,14176881410
2017/4/19,'000915,300信息,1921.65,1926.7411,1903.8021,1920.688,1922.7911,-1.1411,-0.0593,9673653,12563610643
2017/4/18,'000915,300信息,1922.7911,1939.6887,1919.6373,1925.1511,1925.4363,-2.6452,-0.1374,10093854,13029810416
2017/4/17,'000915,300信息,1925.4363,1937.2478,1917.9118,1933.5605,1935.3273,-9.891,-0.5111,7788053,11270198546
2017/4/14,'000915,300信息,1935.3273,1948.9714,1929.0502,1947.4624,1945.7746,-10.4473,-0.5369,9089381,13376454670
2017/4/13,'000915,300信息,1945.7746,1953.7935,1937.3279,1938.0376,1937.5928,8.1818,0.4223,8802843,11289888482
2017/4/12,'000915,300信息,1937.5928,1953.3551,1935.5688,1952.7465,1958.739,-21.1462,-1.0796,9878408,13617739291
2017/4/11,'000915,300信息,1958.739,1966.7497,1926.8594,1963.1819,1962.34,-3.601,-0.1835,17149818,20026298924
2017/4/10,'000915,300信息,1962.34,1978.5138,1958.8296,1978.5138,1980.0327,-17.6927,-0.8936,16547386,20675937856
2017/4/7,'000915,300信息,1980.0327,1983.1079,1965.6863,1967.6841,1969.7322,10.3005,0.5229,12278025,15185948015
2017/4/6,'000915,300信息,1969.7322,1975.7952,1964.9902,1974.516,1973.7357,-4.0035,-0.2028,9536958,14636828653
2017/4/5,'000915,300信息,1973.7357,1976.3906,1949.5607,1949.5607,1943.7721,29.9636,1.5415,13264867,18277452230
2017/3/31,'000915,300信息,1943.7721,1943.8369,1933.9148,1934.7157,1931.56,12.2121,0.6322,7963659,13376469805
2017/3/30,'000915,300信息,1931.56,1967.8764,1926.1064,1964.8732,1967.7392,-36.1792,-1.8386,13227362,17903700920
2017/3/29,'000915,300信息,1967.7392,1981.0127,1960.3995,1973.3119,1965.8992,1.84,0.0936,11930129,17091586366
2017/3/28,'000915,300信息,1965.8992,1974.5706,1958.7234,1965.0422,1961.3722,4.527,0.2308,8428957,11351219004
2017/3/27,'000915,300信息,1961.3722,1980.3797,1960.283,1976.2504,1975.0134,-13.6412,-0.6907,9954388,14126813908
2017/3/24,'000915,300信息,1975.0134,1979.6243,1952.5154,1954.6325,1955.7626,19.2508,0.9843,12904322,17497726411
2017/3/23,'000915,300信息,1955.7626,1960.6785,1937.2127,1952.5793,1950.0813,5.6813,0.2913,8830654,14398013223
2017/3/22,'000915,300信息,1950.0813,1954.5575,1932.9425,1941.565,1951.13,-1.0487,-0.0537,10757780,17293138686
2017/3/21,'000915,300信息,1951.13,1951.9181,1935.1493,1940.0809,1943.682,7.448,0.3832,9891006,16448407092
2017/3/20,'000915,300信息,1943.682,1946.5334,1930.612,1939.7262,1941.0012,2.6808,0.1381,7149271,13267280694
2017/3/17,'000915,300信息,1941.0012,1971.874,1940.0886,1963.9744,1961.8926,-20.8914,-1.0649,8071462,15508381968
2017/3/16,'000915,300信息,1961.8926,1964.8362,1952.4848,1952.4848,1954.2201,7.6725,0.3926,7422750,14528812439
2017/3/15,'000915,300信息,1954.2201,1957.456,1935.1921,1944.7351,1951.0615,3.1586,0.1619,8304936,16801496193
2017/3/14,'000915,300信息,1951.0615,1964.0307,1945.7833,1962.2124,1964.8735,-13.812,-0.7029,7857420,17164042995
2017/3/13,'000915,300信息,1964.8735,1964.9243,1932.8664,1939.0443,1938.3966,26.4769,1.3659,9872737,15186545656
2017/3/10,'000915,300信息,1938.3966,1944.2081,1935.6207,1936.7243,1936.3439,2.0527,0.106,6446858,10760765731
2017/3/9,'000915,300信息,1936.3439,1942.7418,1929.7016,1942.302,1945.5207,-9.1768,-0.4717,6513248,11055686285
2017/3/8,'000915,300信息,1945.5207,1962.2081,1941.461,1962.2081,1960.7802,-15.2595,-0.7782,6863305,12257944042
2017/3/7,'000915,300信息,1960.7802,1960.9454,1942.7152,1943.9734,1942.4622,18.318,0.943,8750841,17137552585
2017/3/6,'000915,300信息,1942.4622,1944.6807,1921.9964,1921.9964,1919.5495,22.9127,1.1936,7436038,13621254402
2017/3/3,'000915,300信息,1919.5495,1923.3206,1901.574,1910.1607,1915.2315,4.318,0.2255,5964405,10646372301
2017/3/2,'000915,300信息,1915.2315,1935.7644,1914.6327,1929.9925,1929.1058,-13.8743,-0.7192,6569801,10366158331
2017/3/1,'000915,300信息,1929.1058,1933.4338,1924.2494,1928.3395,1930.6705,-1.5647,-0.081,7016008,10816539750
2017/2/28,'000915,300信息,1930.6705,1942.2426,1925.6162,1930.2855,1932.4759,-1.8054,-0.0934,6318570,10400719743
2017/2/27,'000915,300信息,1932.4759,1951.055,1930.1366,1943.3361,1943.5447,-11.0688,-0.5695,7181972,11903824245
2017/2/24,'000915,300信息,1943.5447,1950.3286,1935.3232,1937.0223,1938.3671,5.1776,0.2671,6627229,11515691100
2017/2/23,'000915,300信息,1938.3671,1943.9864,1929.4104,1943.4969,1943.5401,-5.173,-0.2662,7132076,10004838622
2017/2/22,'000915,300信息,1943.5401,1943.6296,1930.8429,1935.4814,1934.5811,8.959,0.4631,9335885,11593270039
2017/2/21,'000915,300信息,1934.5811,1935.2582,1918.4245,1921.9097,1920.3665,14.2146,0.7402,8546184,12091794715
2017/2/20,'000915,300信息,1920.3665,1920.4519,1900.0321,1904.7212,1903.0595,17.307,0.9094,8265527,11181592460
2017/2/17,'000915,300信息,1903.0595,1927.0291,1900.9655,1917.0027,1911.8863,-8.8268,-0.4617,7319175,11736598642
2017/2/16,'000915,300信息,1911.8863,1911.8952,1895.8887,1899.1494,1900.1904,11.6959,0.6155,6185811,9380386513
2017/2/15,'000915,300信息,1900.1904,1924.8042,1897.2046,1912.5849,1911.37,-11.1796,-0.5849,8314245,12566173267
2017/2/14,'000915,300信息,1911.37,1918.7687,1906.9367,1912.4859,1910.0751,1.2949,0.0678,7847131,11449591843
2017/2/13,'000915,300信息,1910.0751,1916.5615,1893.1332,1898.6283,1899.9201,10.155,0.5345,7837695,12109354924
2017/2/10,'000915,300信息,1899.9201,1906.9367,1896.1763,1906.8604,1907.5623,-7.6422,-0.4006,7363233,10838363718
